Date,So2
02-01-1990,4.8
02-01-1990,6.2
03-01-1990,6.3
03-01-1990,6.4
04-01-1990,5.4
04-01-1990,4.2
05-01-1990,3.6
06-01-1990,3.9
06-01-1990,3.3
07-01-1990,3.9
07-01-1990,3.5
08-01-1990,4
08-01-1990,4
09-01-1990,6.3
09-01-1990,8.1
10-01-1990,7.7
10-01-1990,20.4
11-01-1990,13.9
11-01-1990,22.3
01-01-1991,24.5
01-01-1991,7.2
02-01-1991,18.7
02-01-1991,24.5
03-01-1991,5.2
03-01-1991,7.5
04-01-1991,8.5
04-01-1991,9.7
05-01-1991,4.9
05-01-1991,12.3
06-01-1991,3.5
06-01-1991,3
07-01-1991,6.2
07-01-1991,6.5
08-01-1991,8.5
08-01-1991,6.5
09-01-1991,6.6
09-01-1991,6
10-01-1991,8.5
10-01-1991,6.2
11-01-1991,8
11-01-1991,18.8
12-01-1991,8.9
12-01-1991,6
01-01-1992,6
01-01-1992,12.9
02-01-1992,8.8
02-01-1992,14.1
03-01-1992,14.1
03-01-1992,12.4
04-01-1992,8.3
04-01-1992,6.3
06-01-1992,6.2
06-01-1992,7.3
01-01-1993,6.5
01-01-1993,8
02-01-1993,8.1
02-01-1993,7.9
03-01-1993,6.4
03-01-1993,6.9
04-01-1993,6.1
04-01-1993,6
05-01-1993,6
05-01-1993,6
06-01-1993,6
06-01-1993,6
07-01-1993,6
07-01-1993,6
08-01-1993,6
08-01-1993,6
09-01-1993,6
09-01-1993,6
10-01-1993,6
10-01-1993,6
11-01-1993,6.3
11-01-1993,24.5
12-01-1993,17.8
12-01-1993,34.1
01-01-1994,51.6
01-01-1994,12.5
02-01-1994,24.8
02-01-1994,7.6
03-01-1994,25.4
03-01-1994,12.5
04-01-1994,28.3
04-01-1994,8.7
05-01-1994,7.1
05-01-1994,15.2
06-01-1994,6
06-01-1994,9.4
07-01-1994,11
07-01-1994,8.3
08-01-1994,24.2
08-01-1994,12.9
11-01-1994,31.7
11-01-1994,16.7
12-01-1994,13.6
12-01-1994,36.8
01-01-1995,13.9
02-01-1995,9.3
03-01-1995,11
04-01-1995,9.6
05-01-1995,8.5
07-01-1995,12.8
08-01-1995,14.8
09-01-1995,19
10-01-1995,7.9
11-01-1995,11.5
12-01-1995,14.3
01-01-1995,38.1
02-01-1995,28.1
03-01-1995,18.1
04-01-1995,27
05-01-1995,13.8
06-01-1995,13.7
07-01-1995,10.1
08-01-1995,10.8
09-01-1995,6.3
10-01-1995,17.7
11-01-1995,41
12-01-1995,11.4
01-01-1996,24.5
01-01-1996,9.5
02-01-1996,17
02-01-1996,8.4
03-01-1996,15
03-01-1996,13
04-01-1996,11.9
04-01-1996,8.3
05-01-1996,19
05-01-1996,12.3
06-01-1996,14
06-01-1996,9.9
07-01-1996,19.5
07-01-1996,16.1
08-01-1996,14.6
09-01-1996,13.3
10-01-1996,17.8
11-01-1996,36.5
12-01-1996,37.2
12-01-1996,34.1
01-01-1997,22.1
01-01-1997,20
02-01-1997,11.9
02-01-1997,15.6
03-01-1997,11.2
03-01-1997,16.2
04-01-1997,12
04-01-1997,13.2
05-01-1997,8.5
05-01-1997,8.7
06-01-1997,9
06-01-1997,6.9
07-01-1997,9.3
07-01-1997,8.6
08-01-1997,12
08-01-1997,8.5
09-01-1997,21.2
09-01-1997,13.9
10-01-1997,13.4
10-01-1997,15
11-01-1997,6.9
11-01-1997,7.9
12-01-1997,8.1
12-01-1997,6.2
01-01-1998,6.6
01-01-1998,6.3
02-01-1998,6.7
02-01-1998,6.3
03-01-1998,7.9
03-01-1998,6.9
04-01-1998,8.8
04-01-1998,6.7
05-01-1998,7.2
05-01-1998,7.2
06-01-1998,9
06-01-1998,7
07-01-1998,8.4
07-01-1998,7.4
08-01-1998,14.2
08-01-1998,6.3
09-01-1998,7
09-01-1998,6.7
11-01-1998,23.3
11-01-1998,13
12-01-1998,42.3
12-01-1998,10.3
01-01-1999,8.9
01-01-1999,21
02-01-1999,9.4
02-01-1999,43.8
03-01-1999,18.2
03-01-1999,17.5
04-01-1999,14.3
04-01-1999,21.1
05-01-1999,8.1
05-01-1999,10.5
06-01-1999,10.4
06-01-1999,24.7
07-01-1999,7.1
07-01-1999,9.3
08-01-1999,7.8
08-01-1999,11.2
09-01-1999,8
09-01-1999,16
10-01-1999,8
10-01-1999,16.2
11-01-1999,15.4
11-01-1999,21.2
12-01-1999,23.6
12-01-1999,22.9
01-01-2000,22.6
01-01-2000,28.7
02-01-2000,13.5
02-01-2000,11.3
03-01-2000,10.9
03-01-2000,23.1
04-01-2000,12.5
04-01-2000,21.1
05-01-2000,12.7
05-01-2000,13.5
06-01-2000,11.6
06-01-2000,12.7
07-01-2000,9.3
07-01-2000,8.8
08-01-2000,8.5
08-01-2000,8.6
09-01-2000,7.9
09-01-2000,8.8
