Date,No2
2/1/1990,17.4
2/1/1990,28.5
3/1/1990,14.7
3/1/1990,25.7
4/1/1990,17.1
4/1/1990,23
5/1/1990,18.6
6/1/1990,14.1
6/1/1990,19.3
7/1/1990,8.2
7/1/1990,12.1
8/1/1990,9.9
8/1/1990,12.3
9/1/1990,11.5
9/1/1990,17.8
10/1/1990,11.3
10/1/1990,27.5
11/1/1990,7.2
11/1/1990,35.9
1/1/1991,28
1/1/1991,10.4
2/1/1991,42.2
2/1/1991,18
3/1/1991,41.3
3/1/1991,12.2
4/1/1991,48.5
4/1/1991,12.4
5/1/1991,15.3
5/1/1991,38.6
6/1/1991,11.9
6/1/1991,19
7/1/1991,10
7/1/1991,17.3
8/1/1991,12.5
8/1/1991,12.6
9/1/1991,12.7
9/1/1991,23.4
10/1/1991,15.5
10/1/1991,25.7
11/1/1991,8.3
11/1/1991,39
12/1/1991,11.4
12/1/1991,47
1/1/1992,34.1
1/1/1992,14.7
2/1/1992,9.7
2/1/1992,37.8
3/1/1992,20.8
3/1/1992,38
4/1/1992,14.2
4/1/1992,33.2
6/1/1992,27.6
6/1/1992,13
1/1/1993,10.2
1/1/1993,44.8
2/1/1993,13.4
2/1/1993,33.9
3/1/1993,11.8
3/1/1993,32.6
4/1/1993,13.4
4/1/1993,31.6
5/1/1993,7.9
5/1/1993,30.9
6/1/1993,9.6
6/1/1993,17.7
7/1/1993,11.7
7/1/1993,11.1
8/1/1993,13.6
8/1/1993,11.2
9/1/1993,9.3
9/1/1993,11.1
10/1/1993,7.8
10/1/1993,18.6
11/1/1993,8
11/1/1993,41.1
12/1/1993,15.2
12/1/1993,48.9
1/1/1994,63
1/1/1994,15.5
2/1/1994,42.2
2/1/1994,9.4
3/1/1994,48.4
3/1/1994,16.8
4/1/1994,39.3
4/1/1994,8.5
5/1/1994,15.4
5/1/1994,32.4
6/1/1994,9.9
6/1/1994,22.6
7/1/1994,17.9
7/1/1994,8.1
8/1/1994,17
8/1/1994,11
11/1/1994,31.4
11/1/1994,10.3
12/1/1994,16.6
12/1/1994,44.7
1/1/1995,17.3
2/1/1995,16.2
3/1/1995,20.5
4/1/1995,14
5/1/1995,15.6
7/1/1995,18.4
8/1/1995,15.3
9/1/1995,24.2
10/1/1995,10.9
11/1/1995,7.9
12/1/1995,20.4
1/1/1995,34.8
2/1/1995,38.9
3/1/1995,39
4/1/1995,35.4
5/1/1995,21.4
6/1/1995,37.6
7/1/1995,32.1
8/1/1995,31.8
9/1/1995,26.6
10/1/1995,36.8
11/1/1995,35.4
12/1/1995,62.3
1/1/1996,36
1/1/1996,14.9
2/1/1996,43.2
2/1/1996,21.1
3/1/1996,44.2
3/1/1996,19.3
4/1/1996,40.5
4/1/1996,10.8
5/1/1996,22.2
5/1/1996,15.5
6/1/1996,32
6/1/1996,12.7
7/1/1996,38
7/1/1996,13.6
8/1/1996,17.7
9/1/1996,17.1
10/1/1996,9.9
11/1/1996,15
12/1/1996,26.5
12/1/1996,10.7
1/1/1997,28.4
1/1/1997,16
2/1/1997,23.7
2/1/1997,22.7
3/1/1997,19.2
3/1/1997,21.8
4/1/1997,14.7
4/1/1997,15.2
5/1/1997,13.1
5/1/1997,18.2
6/1/1997,8.1
6/1/1997,14.6
7/1/1997,8
7/1/1997,9.7
8/1/1997,10.9
8/1/1997,6.5
9/1/1997,20.5
9/1/1997,6.3
10/1/1997,26.7
10/1/1997,11.5
11/1/1997,14
11/1/1997,28.8
12/1/1997,25.1
12/1/1997,11.3
1/1/1998,31.6
1/1/1998,25.4
2/1/1998,49.1
2/1/1998,15.6
3/1/1998,63.6
3/1/1998,28.2
4/1/1998,60.1
4/1/1998,26.3
5/1/1998,62.2
5/1/1998,34.8
6/1/1998,43.8
6/1/1998,25.7
7/1/1998,36.7
7/1/1998,13.4
8/1/1998,66
8/1/1998,16.3
9/1/1998,47.6
9/1/1998,21.1
11/1/1998,60.3
11/1/1998,16.6
12/1/1998,82.4
12/1/1998,19.2
1/1/1999,21.1
1/1/1999,54.1
2/1/1999,12.1
2/1/1999,37.7
3/1/1999,24
3/1/1999,37.4
4/1/1999,21.6
4/1/1999,35.4
5/1/1999,17.8
5/1/1999,22.5
6/1/1999,21.3
6/1/1999,44
7/1/1999,26.5
7/1/1999,22.8
8/1/1999,20.2
8/1/1999,45.2
9/1/1999,22.7
9/1/1999,34.1
10/1/1999,7.6
10/1/1999,30.7
11/1/1999,12.8
11/1/1999,49.8
12/1/1999,22.8
12/1/1999,60
1/1/2000,14.9
1/1/2000,41.5
2/1/2000,15.1
2/1/2000,36.3
3/1/2000,12.2
3/1/2000,31.1
4/1/2000,11.9
4/1/2000,21.9
5/1/2000,17.4
5/1/2000,24.4
6/1/2000,11.5
6/1/2000,11.4
7/1/2000,8.5
7/1/2000,10.5
8/1/2000,11.6
8/1/2000,17.1
9/1/2000,12.5
9/1/2000,28.4
10/1/2000,13.6
10/1/2000,36.2
11/1/2000,9.1
11/1/2000,22
12/1/2000,15
12/1/2000,45.3
1/1/2001,10
2/1/2001,8.8
3/1/2001,9.5
4/1/2001,9.3
5/1/2001,14.1
6/1/2001,14.7
7/1/2001,21.3
8/1/2001,15.9
9/1/2001,26.1
10/1/2001,13.6
11/1/2001,7.9
12/1/2001,19.4
1/1/2001,21.6
2/1/2001,20.7
3/1/2001,32.9
4/1/2001,22.9
5/1/2001,27.5
6/1/2001,20.8
7/1/2001,35.2
8/1/2001,32.3
9/1/2001,41.3
10/1/2001,42
11/1/2001,36.6
12/1/2001,43.4
1/1/2002,15.5
2/1/2002,13.6
3/1/2002,14.4
4/1/2002,15.9
5/1/2002,20.2
6/1/2002,17.8
7/1/2002,24.8
8/1/2002,21.7
9/1/2002,28.3
10/1/2002,20.6
11/1/2002,21.1
12/1/2002,22.7
1/1/2002,42.3
2/1/2002,34.5
3/1/2002,41.4
4/1/2002,32.1
5/1/2002,30.8
6/1/2002,33.4
7/1/2002,34
8/1/2002,35.6
9/1/2002,48.3
10/1/2002,44.8
11/1/2002,49.3
12/1/2002,48
2/1/2004,12.3
5/1/2004,7
9/1/2004,11
12/1/2004,19.7
1/16/2004,17.9
1/19/2004,12.5
1/23/2004,16.3
1/29/2004,9.1
1/30/2004,20.7
3/2/2004,19.2
6/2/2004,23.7
9/2/2004,20.1
2/13/2004,21.8
2/16/2004,25.2
2/20/2004,16.5
2/23/2004,38.6
2/26/2004,23.8
1/3/2004,18.3
5/3/2004,19.9
8/3/2004,20.6
12/3/2004,20.5
3/15/2004,15.9
3/19/2004,19.9
3/23/2004,19.6
3/26/2004,4.5
3/29/2004,13.5
2/4/2004,16.3
5/4/2004,15.3
