Date,So2
2/1/1990,4.8
2/1/1990,6.2
3/1/1990,6.3
3/1/1990,6.4
4/1/1990,5.4
4/1/1990,4.2
5/1/1990,3.6
6/1/1990,3.9
6/1/1990,3.3
7/1/1990,3.9
7/1/1990,3.5
8/1/1990,4
8/1/1990,4
9/1/1990,6.3
9/1/1990,8.1
10/1/1990,7.7
10/1/1990,20.4
11/1/1990,13.9
11/1/1990,22.3
1/1/1991,24.5
1/1/1991,7.2
2/1/1991,18.7
2/1/1991,24.5
3/1/1991,5.2
3/1/1991,7.5
4/1/1991,8.5
4/1/1991,9.7
5/1/1991,4.9
5/1/1991,12.3
6/1/1991,3.5
6/1/1991,3
7/1/1991,6.2
7/1/1991,6.5
8/1/1991,8.5
8/1/1991,6.5
9/1/1991,6.6
9/1/1991,6
10/1/1991,8.5
10/1/1991,6.2
11/1/1991,8
11/1/1991,18.8
12/1/1991,8.9
12/1/1991,6
1/1/1992,6
1/1/1992,12.9
2/1/1992,8.8
2/1/1992,14.1
3/1/1992,14.1
3/1/1992,12.4
4/1/1992,8.3
4/1/1992,6.3
6/1/1992,6.2
6/1/1992,7.3
1/1/1993,6.5
1/1/1993,8
2/1/1993,8.1
2/1/1993,7.9
3/1/1993,6.4
3/1/1993,6.9
4/1/1993,6.1
4/1/1993,6
5/1/1993,6
5/1/1993,6
6/1/1993,6
6/1/1993,6
7/1/1993,6
7/1/1993,6
8/1/1993,6
8/1/1993,6
9/1/1993,6
9/1/1993,6
10/1/1993,6
10/1/1993,6
11/1/1993,6.3
11/1/1993,24.5
12/1/1993,17.8
12/1/1993,34.1
1/1/1994,51.6
1/1/1994,12.5
2/1/1994,24.8
2/1/1994,7.6
3/1/1994,25.4
3/1/1994,12.5
4/1/1994,28.3
4/1/1994,8.7
5/1/1994,7.1
5/1/1994,15.2
6/1/1994,6
6/1/1994,9.4
7/1/1994,11
7/1/1994,8.3
8/1/1994,24.2
8/1/1994,12.9
11/1/1994,31.7
11/1/1994,16.7
12/1/1994,13.6
12/1/1994,36.8
1/1/1995,13.9
2/1/1995,9.3
3/1/1995,11
4/1/1995,9.6
5/1/1995,8.5
7/1/1995,12.8
8/1/1995,14.8
9/1/1995,19
10/1/1995,7.9
11/1/1995,11.5
12/1/1995,14.3
1/1/1995,38.1
2/1/1995,28.1
3/1/1995,18.1
4/1/1995,27
5/1/1995,13.8
6/1/1995,13.7
7/1/1995,10.1
8/1/1995,10.8
9/1/1995,6.3
10/1/1995,17.7
11/1/1995,41
12/1/1995,11.4
