Date,Spm
2/1/1990,
2/1/1990,
3/1/1990,
3/1/1990,
4/1/1990,
4/1/1990,
5/1/1990,
6/1/1990,133
6/1/1990,111
7/1/1990,118
7/1/1990,135
8/1/1990,179
8/1/1990,99
9/1/1990,270
9/1/1990,167
10/1/1990,145
10/1/1990,212
11/1/1990,93
11/1/1990,255
1/1/1991,197
1/1/1991,148
2/1/1991,125
2/1/1991,330
3/1/1991,287
3/1/1991,241
4/1/1991,
4/1/1991,283
5/1/1991,234
5/1/1991,219
6/1/1991,179
6/1/1991,154
7/1/1991,150
7/1/1991,128
8/1/1991,119
8/1/1991,98
9/1/1991,172
9/1/1991,120
10/1/1991,135
10/1/1991,158
11/1/1991,163
11/1/1991,232
12/1/1991,149
12/1/1991,242
1/1/1992,271
1/1/1992,180
2/1/1992,171
2/1/1992,248
3/1/1992,179
3/1/1992,267
4/1/1992,175
4/1/1992,249
6/1/1992,192
6/1/1992,115
1/1/1993,
1/1/1993,
2/1/1993,
2/1/1993,
3/1/1993,
3/1/1993,
4/1/1993,
4/1/1993,
5/1/1993,
5/1/1993,
6/1/1993,
6/1/1993,
7/1/1993,
7/1/1993,
8/1/1993,
8/1/1993,
9/1/1993,
9/1/1993,
10/1/1993,
10/1/1993,
11/1/1993,
11/1/1993,
12/1/1993,
12/1/1993,
1/1/1994,130
1/1/1994,144
2/1/1994,98
2/1/1994,191
3/1/1994,124
3/1/1994,240
4/1/1994,125
4/1/1994,259
5/1/1994,238
5/1/1994,208
6/1/1994,132
6/1/1994,93
7/1/1994,76
7/1/1994,128
8/1/1994,62
8/1/1994,123
11/1/1994,200
11/1/1994,167
12/1/1994,200
12/1/1994,262
1/1/1995,82
2/1/1995,127
3/1/1995,134
4/1/1995,115
5/1/1995,168
7/1/1995,120
8/1/1995,120
9/1/1995,146
10/1/1995,63
11/1/1995,232
12/1/1995,151
1/1/1995,218
2/1/1995,240
3/1/1995,251
4/1/1995,184
5/1/1995,175
6/1/1995,209
7/1/1995,145
8/1/1995,238
9/1/1995,122
10/1/1995,143
11/1/1995,171
12/1/1995,243
1/1/1996,161
1/1/1996,100
2/1/1996,233
2/1/1996,139
3/1/1996,280
3/1/1996,174
4/1/1996,237
4/1/1996,130
5/1/1996,232
5/1/1996,260
6/1/1996,184
6/1/1996,189
7/1/1996,331
7/1/1996,175
8/1/1996,121
9/1/1996,112
10/1/1996,142
11/1/1996,133
12/1/1996,215
12/1/1996,109
1/1/1997,182
1/1/1997,111
2/1/1997,215
2/1/1997,192
3/1/1997,203
3/1/1997,216
4/1/1997,115
4/1/1997,87
5/1/1997,126
5/1/1997,128
6/1/1997,88
6/1/1997,112
7/1/1997,105
7/1/1997,118
8/1/1997,91
8/1/1997,144
9/1/1997,111
9/1/1997,134
10/1/1997,97
10/1/1997,121
11/1/1997,107
11/1/1997,88
12/1/1997,90
12/1/1997,86
1/1/1998,226
1/1/1998,195
2/1/1998,176
2/1/1998,144
3/1/1998,159
3/1/1998,120
4/1/1998,162
4/1/1998,150
5/1/1998,81
5/1/1998,137
6/1/1998,131
6/1/1998,168
7/1/1998,179
7/1/1998,177
8/1/1998,120
8/1/1998,156
9/1/1998,125
9/1/1998,150
11/1/1998,174
11/1/1998,123
12/1/1998,239
12/1/1998,149
1/1/1999,173
1/1/1999,276
2/1/1999,117
2/1/1999,213
3/1/1999,216
3/1/1999,268
4/1/1999,301
4/1/1999,388
5/1/1999,199
5/1/1999,199
6/1/1999,126
6/1/1999,206
7/1/1999,153
7/1/1999,117
8/1/1999,136
8/1/1999,135
9/1/1999,115
9/1/1999,126
10/1/1999,70
10/1/1999,121
11/1/1999,156
11/1/1999,194
12/1/1999,174
12/1/1999,218
1/1/2000,167
1/1/2000,248
2/1/2000,170
2/1/2000,200
3/1/2000,207
3/1/2000,256
4/1/2000,165
4/1/2000,171
5/1/2000,167
5/1/2000,194
6/1/2000,166
6/1/2000,122
7/1/2000,105
7/1/2000,100
8/1/2000,192
8/1/2000,169
9/1/2000,237
9/1/2000,182
10/1/2000,182
10/1/2000,167
11/1/2000,144
11/1/2000,166
12/1/2000,188
12/1/2000,246
1/1/2001,151
2/1/2001,244
3/1/2001,148
4/1/2001,126
5/1/2001,222
6/1/2001,134
7/1/2001,122
8/1/2001,112
9/1/2001,134
10/1/2001,83
11/1/2001,93
12/1/2001,173
1/1/2001,211
2/1/2001,279
3/1/2001,212
4/1/2001,131
5/1/2001,210
6/1/2001,132
